Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 65, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 66, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 67, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 68, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 69, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 70, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 71, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 72, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 73, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 74, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 75, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 76, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 77, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 78, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 79, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 80, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 81, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 82, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 83, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 84, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 85, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 86, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 87, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 88, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 89, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 90, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 91, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 92, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 93, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 94, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 95, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 96, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 97, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 98, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 99, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 100, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 101, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 102, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 103, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 104, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 105, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 106, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 107, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 108, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 109, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 110, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 111, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 112, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 113, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 114, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 115, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 116, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 117, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 118, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 119, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 120, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 121, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 122, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 123, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 124, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 125, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 126, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 127, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 128, numero nodos--> 40, tiempo ejecucion--> 0.016
